Year,HDB 1- & 2- Room Flats1/,HDB 3-Room Flats,HDB 4-Room Flats,HDB 5-Room & Executive Flats,Condominiums & Other Apartments,Landed Properties
2023,3897,7750,11319,14665,22560,28169
2022,3588,7189,10385,13814,21497,26659
2021,3174,6894,9771,13136,19935,25425
2020,2997,6442,9414,12723,20732,27838
2019,2886,6586,9543,12706,21023,27385
2018,2765,6497,9306,12716,20593,27134
2017,2748,6450,9260,12554,20491,26701
2016,2730,6370,9022,12270,20213,25585
2015,2697,6258,8751,12172,20324,25473
2014,2313,5805,8293,11606,19843,27363
2013,2270,5630,7974,11199,19340,23994
2012,2233,5512,7626,10735,19026,25419
2011,2105,5202,7220,10160,18025,24039
2010,1879,4800,6483,9186,16315,20931
2009,1788,4516,6135,8811,15730,19566
2008,1783,4541,6069,9022,16086,20388
2007,1558,3957,5395,7923,14494,18786
2006,1667,3639,4981,7384,13011,16640
2005,1686,3650,4872,7295,12711,15561
2004,1649,3479,4592,6767,12149,15791
2003,1592,3581,4655,7013,12182,14712
2002,1742,3546,4695,7182,12325,14688
2001,1714,3887,4942,7342,13444,15266
2000,1919,3701,4675,6900,12271,15273